variable,value
anxiety,10.0
anxiety,5.0
anxiety,7.0
anxiety,10.0
anxiety,3.0
anxiety,9.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,8.0
anxiety,10.0
anxiety,8.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,6.0
anxiety,10.0
anxiety,10.0
anxiety,9.0
anxiety,9.0
anxiety,10.0
anxiety,8.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,9.0
anxiety,10.0
anxiety,10.0
anxiety,8.0
anxiety,9.0
anxiety,10.0
anxiety,10.0
anxiety,9.0
anxiety,9.0
anxiety,7.0
anxiety,8.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,9.0
anxiety,6.0
anxiety,10.0
anxiety,9.0
anxiety,7.0
anxiety,5.0
anxiety,10.0
anxiety,8.0
anxiety,10.0
anxiety,9.0
anxiety,10.0
anxiety,10.0
anxiety,5.0
anxiety,10.0
anxiety,8.0
anxiety,10.0
anxiety,5.0
anxiety,9.0
anxiety,10.0
anxiety,9.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,8.0
anxiety,10.0
anxiety,10.0
anxiety,6.0
anxiety,10.0
anxiety,9.0
anxiety,5.0
anxiety,6.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,9.0
anxiety,1.0
anxiety,7.0
anxiety,9.0
anxiety,3.0
anxiety,10.0
anxiety,9.0
anxiety,10.0
anxiety,9.0
anxiety,8.0
anxiety,10.0
anxiety,9.0
anxiety,10.0
anxiety,10.0
anxiety,8.0
anxiety,10.0
anxiety,10.0
anxiety,8.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
anxiety,10.0
